District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Sehore,8241,8241,8533,8533,8568,9009,9150,9775,9778,10024,10240,10468,10728,10743,10961,10961,11836,10406,12281,12285,12285,12287,12287,12287,12287,10902,10902,10902,10902,11315,12399,13457,13457,14719,14719,16637,16637,18676,18676,18677,22732,22732,26815,26821,31057,34622,34625,44041,44211,51908,52267,61174,63639,63640,69074,69074,69074,69074,71882,76654,77962,81046,82866,85950,88930,101087,103158,105373,106740,118555,130233,138158,139495,145278,146121,151423,151485,154387,154477,154542,156514,156710,158146,158187,159019,159049,159570,159567,159564,59819.0
Seoni,7119,7119,7372,7810,8881,9045,9045,9334,9451,9853,10130,10327,10478,10570,10926,11015,12451,11193,12941,12941,12941,12941,12941,12941,12941,11158,11158,11158,11158,11354,12052,12886,12887,13880,13880,14674,14674,15502,15502,15502,18191,18204,21884,21897,25816,31223,31520,41891,42796,47108,47490,54263,57890,57892,60370,60371,60371,60371,61026,66969,73633,74751,74867,78287,82208,89933,91582,92095,92290,97532,102105,105232,108619,110049,110170,111108,111134,111562,111605,111627,112230,112255,112631,112650,112876,112905,113135,113140,113139,48349.0
Shahdol,6322,6342,6876,7294,7317,7998,8174,8428,8526,8707,8968,9130,9322,9360,9432,9489,9834,9409,10399,10399,10399,10399,10399,10450,10450,10175,10175,10175,10175,10276,10960,11648,11648,12433,12433,13283,13283,14190,14191,14191,16265,16330,19291,19335,22309,24681,24804,29285,29486,31536,31697,33551,34815,34816,36017,36017,36017,36017,37426,38199,40916,42559,44894,45190,45970,49762,52829,54428,55040,66977,82029,96440,113259,114557,114921,118944,120041,124235,124618,124616,127623,127691,129751,129755,130493,130549,130846,130844,130840,42602.0
Shajapur,6347,6347,6536,7063,7515,7515,7515,7612,7700,7876,7999,8145,8321,8531,8533,8557,8605,8682,8941,8958,8958,8958,8958,8958,8958,8722,8722,8722,8722,9300,10222,11492,11749,12780,12781,13780,13784,14728,14729,14729,16693,16693,18400,18402,20286,22022,22151,26364,26649,29616,29926,32400,33038,33039,34067,34067,34067,34067,36207,38591,40139,41348,41591,44812,47767,49879,51600,52500,53173,58918,63425,67244,71559,72449,72585,75026,75221,77789,77894,77911,79641,79829,80760,80778,81299,81328,81559,81595,81593,32303.0
Sheopur,3308,3308,3742,4490,4490,4611,4611,4627,4764,4967,5212,5296,5417,5417,5464,5516,5681,5120,6222,6279,6279,6279,6279,6279,6279,6259,6259,6259,6259,6490,6828,7112,7130,7574,7574,8153,8153,9000,9002,9002,10578,10602,12085,12106,14075,16313,16449,18697,19454,19932,20058,21984,23543,23613,24223,24409,24409,24409,24849,23687,24939,25404,25749,26278,27632,29552,30680,31108,31260,31359,32727,33806,36028,37244,38319,39762,40256,41277,41779,42658,43372,43881,44380,44481,44528,44582,44584,44584,44583,19025.0
Shivpuri,9842,9849,10234,10903,11198,11261,11267,11387,11740,12005,12481,12812,12934,13265,13349,13502,13776,14403,16493,16598,16656,16657,16657,16657,16657,16202,16202,16202,16202,16894,17820,18782,18783,19638,19656,20870,20870,21712,21712,21712,23334,23334,25511,25525,27649,29864,29936,33856,34101,38133,38642,41450,42251,42273,42752,42752,42752,42752,43831,47466,52562,54811,55993,57802,60826,65690,70265,70804,71362,72968,82030,92624,101361,101759,102071,105168,105265,111289,111439,111490,118999,119220,122730,122766,123747,123764,124168,124161,124143,46014.0
Sidhi,5788,5788,6102,7014,7307,7311,7311,7547,7580,7589,7931,8062,8247,8247,8429,8432,8697,8029,8988,8988,8988,8988,8988,8988,8988,8516,8516,8516,8516,8545,8782,9121,9121,9760,9760,10300,10300,10677,10677,10677,12529,12535,14037,14057,15816,19603,19644,25563,26277,26513,26550,31364,33077,33159,33504,33504,33504,33504,35756,37677,39945,40580,41224,41976,43261,45920,49854,50556,52028,55750,60948,67655,73153,74149,74331,74384,74407,76653,77111,77146,78262,78415,79154,79211,79639,79670,79791,79835,79835,31046.0
Singrauli,6198,6198,6566,6627,6853,7051,7732,8028,8232,8415,8586,8842,9116,9134,9356,9366,9753,9625,9804,9804,9804,9804,9804,9804,9804,9455,9455,9455,9455,9519,9618,9725,9727,10083,10083,10515,10515,11051,11166,11166,14398,14431,17633,17668,20436,22423,22475,26069,26379,30219,31084,35458,38190,38409,40815,40831,40831,40831,42316,43951,45416,47238,49047,49715,50195,53468,57391,58600,59299,62649,66426,69954,74911,77240,77596,78436,78535,80799,81298,81359,82990,83178,83853,83933,84402,84501,84721,84727,84719,34008.0
Tikamgarh,6172,6218,6352,7339,7659,7800,7824,7940,7940,8296,8787,9260,9482,9561,9932,9965,10370,9815,11736,11736,11736,11736,11736,11736,11736,11265,11265,11265,11265,11493,11914,12404,12418,13020,13023,13490,13490,14046,14060,14060,15211,15211,16542,16571,18312,19657,19657,22682,22912,28829,32560,36459,38056,38110,39184,39192,39192,39192,41999,41858,44885,47004,50583,51283,52436,59354,63008,64583,65063,72388,78788,84187,87579,90290,91416,95569,95720,101107,105153,105541,107794,109340,110521,110887,111325,111479,111606,111635,111630,39381.0
Ujjain,14053,14148,15799,16435,16467,17734,17830,18346,18656,19210,19982,20192,20801,20995,23168,23679,24833,22856,26186,26522,26522,26526,26539,26593,26596,25412,25412,25412,25412,26064,27558,29388,29397,31945,32052,34657,34667,37310,37310,37310,41459,41459,46153,46167,51121,55021,55034,63773,64048,71454,72215,78804,80588,80589,83708,83708,83708,83707,87475,98985,113428,121128,125818,135228,143804,160359,177827,192048,203755,219735,233726,243002,251414,257367,261390,265394,265473,267615,268015,268217,270307,270967,272826,273042,274509,274866,276421,276429,276436,101120.0
Umaria,2672,2672,2841,3097,3097,3194,3380,3629,3629,3731,3823,3871,3926,3926,4060,4073,4182,3662,4511,4511,4511,4511,4511,4511,4511,3811,3811,3811,3811,3969,4196,4493,4493,4889,4889,5152,5152,5399,5399,5399,5700,5700,6241,6267,6996,8275,8288,11076,11327,12047,12087,14892,15730,15733,15969,15969,15969,15969,17490,18757,20063,20392,20729,21457,22165,24636,26536,26851,26871,30707,35005,37840,41187,43281,43734,45053,45329,46503,46620,46672,47373,47444,47820,47837,48001,48039,48235,48239,48239,16933.0
Vidisha,9528,9528,9889,10623,11833,12224,12315,12654,12995,13429,13676,13960,14240,14281,14322,14661,15030,14078,15929,15929,15929,15929,15929,15929,15929,14087,14260,14260,14260,14902,16035,17214,17217,19011,19011,21163,21175,23831,23834,23834,28223,28359,33412,33464,38203,43348,43383,51777,52275,58252,59215,66273,69608,69613,71754,71754,71754,71754,73881,75790,78237,79889,81300,82865,84321,87570,90703,91853,94140,98080,103717,111441,117885,119873,120189,124988,125172,127852,128296,128382,130979,131524,133367,133503,134338,134419,135190,135185,135183,56263.0
Ahmednagar,27969,28343,29228,30555,31722,33346,35841,36884,37470,39488,41539,43555,45743,45938,48568,49213,52333,50458,55647,55708,55708,55940,55947,56026,56048,55599,55599,55599,55599,55965,57172,58006,59906,62127,62363,68161,70279,77159,78423,82283,84425,84500,93197,93259,106432,110287,117578,121499,121951,129511,133612,141645,144105,152239,155456,155777,157922,160406,166046,180329,191849,198179,204341,216441,223035,232942,238408,256176,261517,264463,267822,275803,293395,300354,309556,313640,315992,320933,327524,334999,347196,351433,352323,353397,369144,377732,381061,383683,394503,149679.0
Akola,8077,8162,8484,8628,8797,9105,9418,9826,10328,10928,11580,12930,14056,14558,15765,17505,19116,17291,19628,19741,19741,19758,19758,19758,19758,17821,17821,17821,17821,18330,19018,19953,21229,22701,23201,24982,26128,27767,28098,30097,31590,31786,33680,33686,36591,37554,39238,40160,40301,42002,43283,45424,47721,50420,52330,52369,52379,53907,56674,71533,75193,78562,83504,87479,90545,99665,105331,108381,109971,111942,113526,116756,119471,123074,125023,125643,125814,130746,134355,137243,138980,143326,144527,144638,152744,158303,160808,161859,167107,57895.0
Amravati,13923,13944,14206,14578,15290,16305,17318,18886,20545,22041,23964,25961,28197,28197,30118,32203,34433,31278,35295,35364,35364,35473,35473,35499,35499,34736,34736,34736,34736,35517,36693,37680,39093,40473,40585,42939,44728,47442,48234,52250,54937,55287,59914,59938,67880,71060,75885,79278,79575,83422,87070,91788,94980,99695,102945,103090,103090,106332,110521,124607,128476,132987,138644,143959,149110,161489,169092,175455,178051,180021,182119,184753,188269,194649,199423,202904,203538,213142,218560,220736,223151,229688,230440,230480,234996,244932,248385,249354,256502,97512.0
Aurangabad,47909,48115,48318,48715,49092,49472,49472,50677,51700,53504,54363,55603,56126,56230,56871,57671,58296,57831,58669,58770,58770,58772,58794,58795,58795,57868,57868,57868,57868,59145,60785,63185,66015,68872,68940,72665,75543,79718,82522,88425,92137,92432,98534,98604,110183,114810,121166,125715,126139,131306,135376,140198,143474,149189,154166,155239,156577,160701,164878,149053,158342,168110,178845,189164,196827,216635,238454,257074,271035,273439,280299,285337,290252,296116,301506,308004,308737,315226,321006,326867,335160,343496,346624,346924,355820,367607,371353,377097,379637,150601.0
Beed,11775,11775,11873,12236,13082,14028,15166,16378,16606,17449,19279,20565,21652,21878,22644,22949,24225,23934,28214,29804,29860,29902,29902,29905,29905,29559,29559,29559,29559,30073,30759,31688,32664,33924,33944,35364,37617,38993,39185,41095,45996,46142,47980,47997,54595,58748,60020,64798,65370,66996,72426,74070,79570,80931,85387,85427,85474,88704,91039,90858,93600,98948,103964,105920,108759,117501,125874,129011,131847,132611,133545,135603,139634,145865,148672,150830,150934,152560,154419,156428,162963,165594,167386,167884,173808,179001,179817,180319,183778,74136.0
Bhandara,8262,8699,8866,9716,9975,10252,11831,12559,12719,13032,14021,14198,14198,14198,14255,14520,14796,14194,15242,15242,15242,15242,15242,15242,15242,15242,15242,15242,15242,16051,16968,18125,19187,20217,20217,22985,23951,27553,27563,30688,31614,32352,38366,38371,47181,53571,56138,63463,64259,72456,77107,85499,92328,95465,99908,100762,100761,103026,107998,114229,120543,128215,133896,140317,143040,147326,149654,150709,151237,151640,153152,154236,155489,157377,158352,159788,160011,161388,162067,162329,163803,164854,166180,166547,168550,171123,173862,176171,178727,74572.0
Buldhana,11297,11669,12235,12900,13566,14418,14457,15263,15475,16034,17151,18217,19597,19933,22222,22751,24194,23504,26286,26582,26582,26609,26609,26609,26637,26459,26459,26459,26459,26775,27882,28835,29878,31209,31273,33369,33642,36764,37063,40523,41935,41988,46228,46258,51584,54692,56415,58621,58775,62878,65085,69771,75049,80728,87739,89722,90388,96078,101025,109194,113705,118504,123652,129002,132879,143145,152116,157951,165095,166739,168677,169156,174683,185506,191071,192750,192958,202560,208543,210539,211791,213472,219502,219986,225528,233056,235499,236751,239869,86210.0
Chandrapur,15145,15245,15714,16192,16795,17271,17326,18046,18115,18994,20277,22187,23156,23349,24453,24732,26930,25984,27851,27851,27851,27851,27853,27869,27869,27628,27628,27628,27628,28106,28663,29369,30164,31009,31070,32812,33013,36821,36916,38292,41412,41493,46050,46115,52249,57151,58720,63458,63570,68644,70003,74631,78674,80094,84092,84145,84145,85081,88962,100079,101051,103978,109582,116600,120537,131897,138605,139147,139522,140163,140524,147614,156110,163942,167527,168575,168955,169270,179220,181349,181961,187147,188198,188544,188745,198691,205095,206441,206639,78944.0
Dhule,10829,10831,11227,11453,11840,12218,12219,13444,13524,14210,14946,15633,16637,16721,17389,17540,18360,17712,19449,19449,19466,19466,19466,19466,19466,19466,19466,19466,19466,19873,20232,20491,20932,21733,21921,24195,24550,28179,28589,31655,32536,32686,36083,36117,40091,41562,45267,46335,46454,49960,50613,54503,55539,59367,60317,60365,61303,62110,64595,71987,76927,78809,80770,85991,88062,93615,97231,103144,107283,109226,112940,114351,118774,123270,128085,131360,131819,133725,136832,140480,144859,149036,151720,152586,155077,163129,166866,168297,171670,60190.0
Gadchiroli,12354,12391,12844,13375,13982,14430,14430,15585,16717,17701,18558,19448,20253,20493,21325,22982,24577,22967,25957,25957,25957,25957,25957,25957,25957,25730,25730,25730,25730,25884,26227,26509,26800,27158,27239,27874,28259,29327,29374,29759,30078,30092,31507,31543,33402,34725,35121,35511,35538,36837,37266,38588,39779,40010,40247,40275,40275,40442,41908,32030,32972,33633,34124,35701,36535,39284,43618,45344,47699,48183,51905,52674,53712,56418,57721,59433,59867,60751,61365,61844,62600,63453,64296,64570,65910,66664,68620,70694,72761,35966.0
Gondia,6465,6465,6700,7075,7520,8112,8344,8918,9857,10228,13412,13724,14597,14597,15222,15866,16453,16295,17330,17407,17407,17407,17407,17407,17407,16939,16939,16939,16939,18302,19474,20887,22209,23405,23405,25379,26417,29993,30397,32565,32565,32565,35885,35890,42348,45689,49323,52692,52747,56124,58412,61455,64256,67270,71921,71942,71942,76889,79284,79298,81108,84183,94317,98463,100213,101254,101423,101468,105689,109003,110617,111036,113060,118007,121034,122087,122298,122816,124869,126051,128861,131761,133966,134305,136515,137837,140326,143255,145337,58443.0
Hingoli,7245,7285,7422,7620,7987,8512,8613,9177,9462,9694,10046,10327,10516,10555,10821,11076,11566,11575,11726,11736,11737,11740,11740,11740,11740,11748,11748,11748,11748,12126,12758,13791,14688,15469,15627,17273,17569,18779,18922,20519,20800,20882,22357,22359,24370,25420,27079,28246,28280,30212,31044,32373,33254,34547,35260,35289,35289,35824,36854,35260,35730,36459,36860,37820,38696,41165,42680,44028,44766,44936,45974,46193,46342,47503,48581,49337,49381,50048,50504,51090,52309,52643,52796,52824,52847,53923,56847,58466,59054,27539.0
Jalgaon,20443,20456,20727,21103,21618,22088,22088,22870,24016,25008,26167,27970,29510,29868,31459,33432,37087,36024,40779,41849,42120,42180,42180,42180,42180,41159,41159,41159,41159,41600,42137,42861,44055,45870,46406,50600,52719,58941,59884,66807,68605,68854,75980,76012,85820,87566,94149,96126,96409,101383,103166,108035,109577,116167,118341,118538,119039,123594,127852,138979,142619,150486,158238,164926,167720,173353,177063,179407,180685,182038,183155,185359,195190,204880,211409,215149,216717,217704,219709,224620,228847,234247,235257,235490,248436,251876,253025,253424,262127,106396.0
Jalna,9939,10118,10405,10850,11082,11509,11509,11902,12344,12714,13152,13581,16488,17717,18189,20126,22700,21992,25003,25055,25137,25137,25154,25154,25154,24358,24358,24358,24358,24567,25030,25643,26456,27319,27357,29852,30709,33704,33979,37472,38303,38409,41468,41472,45319,46139,48607,49073,49192,52115,53064,55929,56527,59010,59409,59451,59461,60646,61418,59833,60804,63056,64395,66970,68563,73575,79717,86289,94088,95462,103248,105369,108802,114821,119892,124204,124802,127715,130048,131498,140959,143507,144456,144559,155800,159639,161183,161273,171170,58566.0
Kolhapur,31096,31096,32111,32902,33974,35031,35616,38991,40072,42735,44709,46439,48057,48364,50329,52499,59424,62728,66413,67463,67920,68163,68163,68163,68163,68163,68163,68163,68163,70008,72427,76483,81877,84371,84398,92355,94721,103581,105314,117190,118939,118964,132276,132332,156368,168303,179378,187759,187996,199130,210535,222435,235125,250903,264079,264253,266597,283357,298481,334786,355484,373137,393008,415252,436720,481491,504895,510142,518133,561215,592662,604261,627361,644377,660137,670476,682090,700329,705007,731027,759525,768826,771534,781951,817977,826446,828716,840429,852601,282283.0
Latur,15107,15124,15451,16113,16574,16835,16921,17181,17297,18068,19061,20166,21197,21246,22498,23569,25592,25188,28283,28283,28283,28283,28283,28283,28283,28281,28281,28281,28281,29127,30115,31166,32374,33883,33883,36731,38010,41264,41972,46315,47651,47651,52321,52331,58579,59942,65444,67154,67213,72614,75616,80381,82894,87863,89804,89831,91446,94375,97063,93063,98440,102446,106293,110088,113007,121046,130066,139215,145629,147789,153713,156333,162596,168327,172300,174400,175707,179545,183678,186145,190639,194417,195905,196151,202074,207216,210004,211160,214653,81701.0
Mumbai,281509,286078,291526,298386,310058,328799,352145,359749,364196,368365,371366,374188,376835,377107,381975,387027,396805,392364,404135,405506,405506,407594,409375,410345,410536,413227,413227,413227,413227,417382,422022,428323,436071,445391,445769,458915,472911,486859,500466,516543,532356,532367,550024,550144,583214,599661,616440,636975,638330,655275,675860,694424,714964,737980,757587,757781,763334,778784,794087,1037223,1096826,1141570,1190473,1227104,1259552,1331723,1398924,1418611,1440815,1475894,1523287,1560659,1599372,1639577,1681509,1714168,1733392,1763041,1785352,1811299,1839076,1859316,1882623,1888705,1918391,1946414,1957567,1975078,1972910,859270.0
Nagpur,36657,36764,38482,39385,40823,42943,43895,47560,49939,52115,55322,59773,62995,63522,68628,77370,83746,83603,88692,88895,88928,88933,88933,89126,89128,85788,85788,85788,85788,88665,91383,94365,100382,109721,110469,120705,127694,137535,142317,154624,168377,168778,184167,184437,208085,216968,232801,247146,249044,261447,271207,282432,290785,301859,313168,315778,315836,324899,336219,369998,401686,430068,464942,493023,514960,565662,608111,638037,657154,664702,674817,685577,697878,711187,723461,735563,739652,748346,755920,761215,767344,775968,785509,789832,798059,805565,815958,825684,836420,318460.0
Nanded,13262,13262,14031,14684,15100,15543,15545,15984,17103,17722,18479,19993,21193,21243,22335,23371,24643,22676,25883,25883,25986,25986,25986,25986,25986,25986,25986,25986,25986,27029,28266,29501,30847,32365,32365,34905,36550,40151,40226,44894,47821,47844,52478,52546,58731,61109,64556,67798,68753,72491,75721,79060,81185,84204,89354,91717,92227,94927,101679,97001,106982,115978,129880,138386,144836,158409,172091,181952,191770,199193,206398,209743,215406,223062,231106,237895,241425,247296,252162,255493,260483,265196,269039,271171,274628,278263,282671,284854,286913,98908.0
Nandurbar,10190,10307,10834,12278,15629,16388,16891,17552,17552,17969,18700,19401,20283,20283,21132,21720,22320,21692,22939,22939,22939,22995,22995,22995,22996,22952,22952,22952,22952,23459,23827,24269,24723,25302,25410,26048,26812,27636,27871,28879,29663,29729,31635,31636,34721,35502,38117,38806,38812,40739,41469,43205,43713,45475,45752,45752,45881,46309,47364,47136,49006,50565,51327,52871,53916,56343,58832,61525,63914,64091,66186,66883,68193,69713,71351,72933,73041,75299,77412,79477,81464,85303,88148,88177,90744,93806,97932,102095,106344,42318.0
Nashik,39841,39854,40471,41034,42168,44989,45496,49058,53321,56416,57792,60343,61820,62167,64597,67277,71891,73095,75863,76783,77160,77497,77507,77507,77507,77057,77057,77057,77057,78606,81093,83643,87524,91308,91920,99936,105272,116152,117431,128088,133671,134606,146978,147009,164140,168595,176685,184778,185637,197830,204174,213214,219106,230676,237527,237930,241044,246539,253968,261967,274078,285125,297000,307907,317339,340438,362053,384455,402864,408419,422226,426985,436897,451240,468178,483861,486139,499529,509235,515915,530008,543859,550034,551323,558174,582619,601520,611991,624130,226070.0
